Codigo,Municipio,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,25,30,35,40,45,50,55,60,65,70,75,80,TOTAL
353980,Poa,1808,1695,1631,1604,1612,1648,1708,1784,1868,1959,2058,2173,2240,2230,2172,2121,2061,2027,2039,2081,10728,10592,9952,9117,8512,7661,6771,5345,3832,2491,1739,1035,1140,117434
354330,RibeiraoPires,1575,1507,1471,1465,1482,1521,1573,1638,1710,1786,1868,1964,2023,2023,1986,1955,1917,1909,1954,2031,10953,11190,10673,9779,9277,8544,7635,6468,4930,3318,2205,1430,1617,123377
354410,RioGrandeDaSerra,792,766,753,752,761,779,801,830,860,891,923,961,981,973,947,923,900,884,885,899,4652,4889,4508,4101,3632,3163,2578,2065,1423,1024,731,440,360,50827
354500,Salesopolis,246,241,240,242,247,254,265,276,286,296,309,320,328,325,317,310,299,293,291,290,1407,1291,1310,1262,1205,1132,960,741,701,481,406,272,278,17121
354680,SantaIsabel,810,784,774,777,790,811,839,871,906,942,980,1021,1048,1044,1026,1007,987,974,975,985,4994,4987,4589,4389,4196,3637,3287,2732,2117,1484,1101,761,743,57368
354730,SantanaDeParnaiba,2100,2032,2004,2008,2040,2092,2163,2245,2333,2421,2516,2625,2682,2667,2606,2547,2483,2441,2442,2472,12551,12354,11952,10928,10240,9512,8119,6149,4315,2436,1699,1048,1206,139428
354780,SantoAndre,8739,8421,8235,8166,8199,8316,8504,8746,9024,9325,9668,10070,10342,10405,10340,10305,10246,10331,10649,11109,60965,64630,60342,55633,53492,52028,46462,38816,30242,22148,18130,12572,14154,718754
354870,SaoBernardoDoCampo,11533,10965,10603,10424,10404,10518,10738,11046,11411,11809,12270,12817,13173,13208,13054,12942,12802,12841,13182,13705,74718,79542,75891,68331,63828,59402,51128,41237,30274,20676,14823,9554,10071,838920
354880,SaoCaetanoDoSul,1525,1479,1454,1447,1457,1483,1521,1567,1621,1681,1746,1823,1883,1913,1928,1947,1963,2001,2070,2161,11972,13225,12645,11842,11502,12839,11609,10019,8412,6484,5707,4480,5703,161109
354995,SaoLourencoDaSerra,246,223,211,204,205,212,222,236,252,268,286,307,320,318,307,298,287,280,277,281,1396,1333,1231,1264,1125,975,882,731,572,432,278,173,176,15808
355030,SaoPaulo,161081,155524,152555,151832,153015,155760,159726,164573,169959,175540,181857,189445,193568,192120,187403,183393,178791,178044,183609,193150,1079648,1169928,1099699,967538,885114,808621,726898,596747,460592,329163,258356,186139,222617,12252005
355250,Suzano,4508,4275,4160,4142,4210,4343,4530,4752,4996,5243,5508,5809,5973,5921,5731,5557,5364,5226,5197,5236,26342,26513,25291,23161,21640,18853,16260,12971,9561,6190,4386,2835,2935,297619
355280,TaboaoDaSerra,4573,4326,4175,4109,4115,4180,4289,4432,4595,4769,4965,5201,5321,5250,5067,4906,4728,4649,4737,4933,26880,28525,27333,23682,21602,18082,15411,11902,8667,5677,3905,2341,2319,289646
355645,VargemGrandePaulista,838,795,770,761,763,777,800,827,858,888,925,968,989,975,938,907,873,854,859,880,4638,4870,4655,4155,3836,3470,2765,2336,1624,1132,782,515,557,52580
0,TOTAL,302561,290996,284727,283057,285289,290712,298621,308340,319130,330332,342850,357656,365818,363325,354423,346712,337906,335212,342711,356636,1943054,2059143,1935130,1720030,1580792,1422546,1255269,1014732,765724,533463,404851,281266,321003,21734017
